#
# MD1: a minimal molecular dynamics program
#
# Problema 2
#  Input sample: a1.cry
#                                (only positions read from file)
# Output sample: a1.md1
# Number of steps:    1000, time step: 0.0032, total time:      3.2000
# Number of atoms:     4
# Box size:    1.550000    1.550000    1.550000, Volume:          3.724
# Density:    1.074150 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.000037      0.000056     -1.394058     -1.394002      1.831665
      2      0.000334      0.000501     -1.394504     -1.394003      1.826126
      3      0.000924      0.001386     -1.395390     -1.394004      1.815089
      4      0.001799      0.002698     -1.396703     -1.394005      1.798643
      5      0.002946      0.004419     -1.398425     -1.394006      1.776914
      6      0.004350      0.006525     -1.400533     -1.394008      1.750069
      7      0.005991      0.008986     -1.402996     -1.394010      1.718311
      8      0.007848      0.011771     -1.405784     -1.394012      1.681874
      9      0.009658      0.014488     -1.408312     -1.393824      1.648746
     10      0.011365      0.017048     -1.410874     -1.393826      1.614457
     11      0.013177      0.019766     -1.413594     -1.393828      1.577248
     12      0.015075      0.022613     -1.416442     -1.393830      1.537332
     13      0.017039      0.025559     -1.419390     -1.393831      1.494932
     14      0.018824      0.028236     -1.422090     -1.393854      1.455506
     15      0.020142      0.030213     -1.423965     -1.393752      1.428713
     16      0.021077      0.031616     -1.425509     -1.393892      1.406152
     17      0.021641      0.032461     -1.426739     -1.394277      1.387551
     18      0.021727      0.032590     -1.426769     -1.394179      1.389112
     19      0.021610      0.032416     -1.426594     -1.394178      1.393062
     20      0.021074      0.031611     -1.425764     -1.394152      1.406637
     21      0.020167      0.030251     -1.424402     -1.394151      1.428404
     22      0.019418      0.029127     -1.423277     -1.394150      1.445951
     23      0.018837      0.028255     -1.422404     -1.394149      1.459144
     24      0.018166      0.027249     -1.421359     -1.394110      1.474688
     25      0.016869      0.025303     -1.419584     -1.394281      1.500424
     26      0.015175      0.022763     -1.417042     -1.394279      1.536918
     27      0.013621      0.020432     -1.414709     -1.394277      1.569702
     28      0.012225      0.018337     -1.412613     -1.394276      1.598559
     29      0.011004      0.016506     -1.410780     -1.394274      1.623293
     30      0.009975      0.014962     -1.409235     -1.394273      1.643729
     31      0.009150      0.013726     -1.407998     -1.394272      1.659720
     32      0.008542      0.012813     -1.407084     -1.394271      1.671147
     33      0.008157      0.012236     -1.406507     -1.394271      1.677922
     34      0.008003      0.012004     -1.406274     -1.394270      1.679988
     35      0.008080      0.012120     -1.406390     -1.394270      1.677320
     36      0.008389      0.012583     -1.406854     -1.394271      1.669927
     37      0.008668      0.013002     -1.407262     -1.394260      1.664235
     38      0.008912      0.013367     -1.407628     -1.394261      1.659848
     39      0.008977      0.013466     -1.407479     -1.394013      1.662832
     40      0.008808      0.013212     -1.407226     -1.394013      1.666796
     41      0.008772      0.013158     -1.407172     -1.394014      1.667610
     42      0.008866      0.013300     -1.407314     -1.394014      1.665302
     43      0.008769      0.013153     -1.407533     -1.394379      1.661268
     44      0.008474      0.012711     -1.407090     -1.394379      1.666528
     45      0.008302      0.012453     -1.406832     -1.394378      1.668743
     46      0.008258      0.012388     -1.406766     -1.394378      1.667861
     47      0.008204      0.012306     -1.406778     -1.394472      1.665720
     48      0.008146      0.012218     -1.406689     -1.394471      1.665431
     49      0.008231      0.012346     -1.406817     -1.394470      1.661854
     50      0.008466      0.012699     -1.407169     -1.394470      1.654931
     51      0.008627      0.012940     -1.407114     -1.394174      1.655593
     52      0.008728      0.013092     -1.407267     -1.394174      1.653386
     53      0.009011      0.013517     -1.407691     -1.394174      1.647479
     54      0.009476      0.014215     -1.408389     -1.394174      1.637865
     55      0.010121      0.015182     -1.409357     -1.394175      1.624562
     56      0.010833      0.016250     -1.410409     -1.394159      1.610459
     57      0.011364      0.017046     -1.411472     -1.394426      1.596175
     58      0.011690      0.017535     -1.411733     -1.394198      1.595190
     59      0.012082      0.018123     -1.412322     -1.394199      1.589265
     60      0.012702      0.019053     -1.413252     -1.394199      1.578222
     61      0.013541      0.020312     -1.414512     -1.394201      1.562156
     62      0.014021      0.021031     -1.414645     -1.393614      1.563251
     63      0.014102      0.021153     -1.414767     -1.393614      1.563605
     64      0.014164      0.021245     -1.414770     -1.393525      1.565842
     65      0.014207      0.021311     -1.414836     -1.393525      1.566902
     66      0.014406      0.021609     -1.415134     -1.393525      1.564069
     67      0.014757      0.022135     -1.415661     -1.393525      1.557372
     68      0.014843      0.022265     -1.416089     -1.393824      1.551203
     69      0.014686      0.022029     -1.415853     -1.393824      1.554391
     70      0.014720      0.022080     -1.415904     -1.393824      1.553397
     71      0.014944      0.022416     -1.416241     -1.393824      1.548225
     72      0.015356      0.023035     -1.416859     -1.393825      1.538907
     73      0.015951      0.023927     -1.417752     -1.393825      1.525503
     74      0.016509      0.024764     -1.418338     -1.393574      1.517459
     75      0.017027      0.025540     -1.419114     -1.393574      1.506424
     76      0.017301      0.025951     -1.419952     -1.394001      1.493879
     77      0.016706      0.025059     -1.419033     -1.393974      1.506384
