#
# MD1: a minimal molecular dynamics program
#
# Problema 2
#  Input sample: a6.cry
#                                (only positions read from file)
# Output sample: a6.md1
# Number of steps:    1000, time step: 0.0032, total time:      3.2000
# Number of atoms:   864
# Box size:    9.300000    9.300000    9.300000, Volume:        804.357
# Density:    1.074150 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.000013      0.000020     -7.445987     -7.445967      0.047100
      2      0.000118      0.000178     -7.446145     -7.445967      0.046282
      3      0.000327      0.000490     -7.446458     -7.445967      0.044663
      4      0.000634      0.000950     -7.446918     -7.445968      0.042279
      5      0.001032      0.001549     -7.447517     -7.445969      0.039181
      6      0.001515      0.002272     -7.448242     -7.445970      0.035434
      7      0.002070      0.003105     -7.449076     -7.445971      0.031120
      8      0.002687      0.004031     -7.450003     -7.445972      0.026330
      9      0.003353      0.005030     -7.451003     -7.445973      0.021164
     10      0.004054      0.006081     -7.452055     -7.445975      0.015732
     11      0.004775      0.007162     -7.453138     -7.445976      0.010145
     12      0.005502      0.008252     -7.454230     -7.445977      0.004518
     13      0.006219      0.009329     -7.455308     -7.445979     -0.001033
     14      0.006914      0.010372     -7.456352     -7.445980     -0.006400
     15      0.007573      0.011359     -7.457341     -7.445981     -0.011476
     16      0.008183      0.012274     -7.458256     -7.445982     -0.016163
     17      0.008732      0.013098     -7.459081     -7.445983     -0.020374
     18      0.009211      0.013817     -7.459801     -7.445984     -0.024033
     19      0.009613      0.014419     -7.460404     -7.445985     -0.027077
     20      0.009930      0.014895     -7.460880     -7.445985     -0.029458
     21      0.010158      0.015238     -7.461223     -7.445985     -0.031142
     22      0.010296      0.015444     -7.461429     -7.445985     -0.032112
     23      0.010342      0.015513     -7.461498     -7.445985     -0.032365
     24      0.010298      0.015447     -7.461432     -7.445985     -0.031916
     25      0.010168      0.015251     -7.461236     -7.445984     -0.030792
     26      0.009956      0.014934     -7.460918     -7.445984     -0.029038
     27      0.009671      0.014506     -7.460489     -7.445983     -0.026708
     28      0.009319      0.013979     -7.459961     -7.445982     -0.023869
     29      0.008912      0.013368     -7.459349     -7.445981     -0.020599
     30      0.008459      0.012688     -7.458668     -7.445980     -0.016982
     31      0.007972      0.011957     -7.457936     -7.445979     -0.013108
     32      0.007462      0.011193     -7.457171     -7.445978     -0.009072
     33      0.006942      0.010413     -7.456390     -7.445976     -0.004969
     34      0.006424      0.009636     -7.455611     -7.445975     -0.000893
     35      0.005919      0.008878     -7.454852     -7.445974      0.003065
     36      0.005438      0.008157     -7.454130     -7.445973      0.006819
     37      0.004991      0.007486     -7.453459     -7.445973      0.010290
     38      0.004587      0.006881     -7.452853     -7.445972      0.013409
     39      0.004234      0.006351     -7.452323     -7.445971      0.016116
     40      0.003938      0.005907     -7.451878     -7.445971      0.018364
     41      0.003703      0.005555     -7.451525     -7.445971      0.020118
     42      0.003533      0.005299     -7.451269     -7.445970      0.021356
     43      0.003428      0.005142     -7.451112     -7.445970      0.022071
     44      0.003388      0.005082     -7.451053     -7.445971      0.022266
     45      0.003411      0.005117     -7.451088     -7.445971      0.021960
     46      0.003494      0.005241     -7.451212     -7.445971      0.021184
     47      0.003631      0.005447     -7.451419     -7.445972      0.019977
     48      0.003816      0.005725     -7.451697     -7.445973      0.018391
     49      0.004043      0.006064     -7.452038     -7.445974      0.016485
     50      0.004302      0.006453     -7.452427     -7.445974      0.014324
     51      0.004585      0.006878     -7.452853     -7.445975      0.011977
     52      0.004884      0.007326     -7.453302     -7.445976      0.009518
     53      0.005189      0.007783     -7.453760     -7.445977      0.007020
     54      0.005491      0.008236     -7.454214     -7.445978      0.004554
     55      0.005781      0.008671     -7.454650     -7.445978      0.002189
     56      0.006052      0.009078     -7.455057     -7.445979     -0.000011
     57      0.006296      0.009444     -7.455424     -7.445980     -0.001989
     58      0.006508      0.009761     -7.455742     -7.445980     -0.003694
     59      0.006681      0.010021     -7.456002     -7.445981     -0.005085
     60      0.006812      0.010218     -7.456199     -7.445981     -0.006133
     61      0.006899      0.010349     -7.456330     -7.445981     -0.006815
     62      0.006940      0.010410     -7.456391     -7.445981     -0.007123
     63      0.006935      0.010403     -7.456383     -7.445981     -0.007057
     64      0.006886      0.010328     -7.456309     -7.445981     -0.006627
     65      0.006794      0.010191     -7.456171     -7.445980     -0.005857
     66      0.006665      0.009997     -7.455977     -7.445980     -0.004776
     67      0.006502      0.009752     -7.455732     -7.445979     -0.003423
     68      0.006311      0.009466     -7.455445     -7.445979     -0.001844
     69      0.006099      0.009148     -7.455126     -7.445978     -0.000091
     70      0.005872      0.008808     -7.454785     -7.445977      0.001780
     71      0.005638      0.008457     -7.454434     -7.445977      0.003711
     72      0.005404      0.008106     -7.454082     -7.445976      0.005643
     73      0.005178      0.007767     -7.453742     -7.445975      0.007516
     74      0.004966      0.007449     -7.453423     -7.445975      0.009274
     75      0.004774      0.007162     -7.453136     -7.445974      0.010864
     76      0.004610      0.006915     -7.452889     -7.445974      0.012239
     77      0.004477      0.006716     -7.452689     -7.445973      0.013358
     78      0.004380      0.006571     -7.452544     -7.445973      0.014187
