#
# MD1: a minimal molecular dynamics program
#
# Problema 2
#  Input sample: a7.cry
#                                (only positions read from file)
# Output sample: a7.md1
# Number of steps:    1000, time step: 0.0032, total time:      3.2000
# Number of atoms:  1372
# Box size:   10.850000   10.850000   10.850000, Volume:       1277.289
# Density:    1.074150 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.000013      0.000020     -7.446214     -7.446194      0.045837
      2      0.000117      0.000175     -7.446370     -7.446195      0.045031
      3      0.000322      0.000483     -7.446678     -7.446195      0.043436
      4      0.000624      0.000936     -7.447131     -7.446196      0.041088
      5      0.001016      0.001525     -7.447721     -7.446196      0.038036
      6      0.001491      0.002237     -7.448434     -7.446197      0.034346
      7      0.002038      0.003057     -7.449255     -7.446198      0.030096
      8      0.002645      0.003968     -7.450168     -7.446200      0.025378
      9      0.003301      0.004951     -7.451152     -7.446201      0.020290
     10      0.003990      0.005985     -7.452188     -7.446202      0.014939
     11      0.004700      0.007050     -7.453253     -7.446204      0.009436
     12      0.005415      0.008122     -7.454327     -7.446205      0.003895
     13      0.006121      0.009182     -7.455388     -7.446206     -0.001574
     14      0.006805      0.010208     -7.456416     -7.446208     -0.006860
     15      0.007453      0.011180     -7.457389     -7.446209     -0.011861
     16      0.008053      0.012080     -7.458290     -7.446210     -0.016479
     17      0.008594      0.012891     -7.459102     -7.446211     -0.020630
     18      0.009066      0.013599     -7.459810     -7.446211     -0.024239
     19      0.009461      0.014192     -7.460404     -7.446212     -0.027243
     20      0.009774      0.014661     -7.460873     -7.446212     -0.029596
     21      0.010000      0.015000     -7.461212     -7.446213     -0.031264
     22      0.010136      0.015204     -7.461417     -7.446213     -0.032231
     23      0.010183      0.015274     -7.461486     -7.446212     -0.032494
     24      0.010141      0.015212     -7.461424     -7.446212     -0.032067
     25      0.010015      0.015023     -7.461234     -7.446212     -0.030979
     26      0.009809      0.014714     -7.460925     -7.446211     -0.029271
     27      0.009531      0.014297     -7.460507     -7.446210     -0.026997
     28      0.009188      0.013782     -7.459992     -7.446209     -0.024223
     29      0.008790      0.013185     -7.459394     -7.446208     -0.021025
     30      0.008348      0.012521     -7.458729     -7.446207     -0.017485
     31      0.007871      0.011807     -7.458013     -7.446206     -0.013691
     32      0.007373      0.011059     -7.457264     -7.446205     -0.009735
     33      0.006864      0.010296     -7.456500     -7.446204     -0.005711
     34      0.006357      0.009535     -7.455738     -7.446203     -0.001709
     35      0.005862      0.008793     -7.454994     -7.446202      0.002181
     36      0.005390      0.008085     -7.454286     -7.446201      0.005874
     37      0.004951      0.007427     -7.453627     -7.446200      0.009295
     38      0.004554      0.006831     -7.453031     -7.446199      0.012375
     39      0.004206      0.006310     -7.452509     -7.446199      0.015055
     40      0.003914      0.005871     -7.452069     -7.446198      0.017289
     41      0.003681      0.005521     -7.451720     -7.446198      0.019042
     42      0.003511      0.005266     -7.451464     -7.446198      0.020293
     43      0.003404      0.005106     -7.451305     -7.446198      0.021031
     44      0.003362      0.005042     -7.451241     -7.446198      0.021262
     45      0.003381      0.005071     -7.451269     -7.446199      0.021001
     46      0.003458      0.005187     -7.451386     -7.446199      0.020277
     47      0.003589      0.005383     -7.451583     -7.446200      0.019128
     48      0.003767      0.005651     -7.451851     -7.446200      0.017604
     49      0.003986      0.005980     -7.452181     -7.446201      0.015759
     50      0.004239      0.006358     -7.452560     -7.446202      0.013657
     51      0.004515      0.006773     -7.452976     -7.446203      0.011365
     52      0.004808      0.007212     -7.453415     -7.446203      0.008953
     53      0.005108      0.007662     -7.453866     -7.446204      0.006492
     54      0.005406      0.008109     -7.454314     -7.446205      0.004052
     55      0.005694      0.008541     -7.454747     -7.446206      0.001700
     56      0.005965      0.008947     -7.455153     -7.446206     -0.000502
     57      0.006210      0.009315     -7.455522     -7.446207     -0.002495
     58      0.006424      0.009637     -7.455844     -7.446208     -0.004232
     59      0.006603      0.009904     -7.456112     -7.446208     -0.005670
     60      0.006740      0.010110     -7.456319     -7.446208     -0.006777
     61      0.006835      0.010252     -7.456460     -7.446208     -0.007531
     62      0.006885      0.010327     -7.456535     -7.446208     -0.007921
     63      0.006890      0.010334     -7.456543     -7.446208     -0.007944
     64      0.006851      0.010276     -7.456484     -7.446208     -0.007610
     65      0.006770      0.010155     -7.456363     -7.446208     -0.006936
     66      0.006651      0.009976     -7.456183     -7.446207     -0.005949
