#
# MD1: a minimal molecular dynamics program
#
# Problema 2
#  Input sample: a5.cry
#                                (only positions read from file)
# Output sample: a5.md1
# Number of steps:    1000, time step: 0.0032, total time:      3.2000
# Number of atoms:   500
# Box size:    7.750000    7.750000    7.750000, Volume:        465.484
# Density:    1.074150 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.000013      0.000020     -7.445993     -7.445973      0.047031
      2      0.000118      0.000177     -7.446150     -7.445973      0.046218
      3      0.000325      0.000487     -7.446461     -7.445974      0.044609
      4      0.000630      0.000945     -7.446919     -7.445974      0.042239
      5      0.001027      0.001540     -7.447515     -7.445975      0.039159
      6      0.001506      0.002259     -7.448235     -7.445976      0.035435
      7      0.002059      0.003088     -7.449065     -7.445977      0.031146
      8      0.002673      0.004009     -7.449987     -7.445978      0.026383
      9      0.003335      0.005002     -7.450982     -7.445980      0.021248
     10      0.004032      0.006047     -7.452028     -7.445981      0.015847
     11      0.004749      0.007123     -7.453106     -7.445982      0.010292
     12      0.005472      0.008208     -7.454191     -7.445984      0.004698
     13      0.006186      0.009279     -7.455264     -7.445985     -0.000822
     14      0.006878      0.010316     -7.456303     -7.445986     -0.006158
     15      0.007533      0.011299     -7.457287     -7.445987     -0.011205
     16      0.008139      0.012209     -7.458197     -7.445988     -0.015866
     17      0.008686      0.013029     -7.459019     -7.445989     -0.020054
     18      0.009164      0.013745     -7.459735     -7.445990     -0.023694
     19      0.009563      0.014345     -7.460336     -7.445991     -0.026723
     20      0.009880      0.014819     -7.460810     -7.445991     -0.029094
     21      0.010108      0.015162     -7.461153     -7.445991     -0.030773
     22      0.010246      0.015368     -7.461360     -7.445991     -0.031744
     23      0.010293      0.015439     -7.461430     -7.445991     -0.032006
     24      0.010251      0.015377     -7.461368     -7.445991     -0.031572
     25      0.010124      0.015186     -7.461176     -7.445990     -0.030471
     26      0.009917      0.014875     -7.460865     -7.445990     -0.028748
     27      0.009636      0.014454     -7.460443     -7.445989     -0.026457
     28      0.009291      0.013937     -7.459925     -7.445988     -0.023667
     29      0.008891      0.013336     -7.459323     -7.445987     -0.020454
     30      0.008446      0.012669     -7.458655     -7.445986     -0.016902
     31      0.007968      0.011952     -7.457937     -7.445985     -0.013103
     32      0.007469      0.011203     -7.457187     -7.445984     -0.009149
     33      0.006960      0.010441     -7.456423     -7.445983     -0.005136
     34      0.006454      0.009681     -7.455663     -7.445982     -0.001156
     35      0.005962      0.008943     -7.454923     -7.445981      0.002701
     36      0.005494      0.008241     -7.454221     -7.445980      0.006350
     37      0.005061      0.007591     -7.453570     -7.445979      0.009713
     38      0.004670      0.007005     -7.452983     -7.445978      0.012724
     39      0.004330      0.006496     -7.452473     -7.445978      0.015325
     40      0.004047      0.006070     -7.452047     -7.445977      0.017471
     41      0.003824      0.005736     -7.451713     -7.445977      0.019129
     42      0.003664      0.005496     -7.451473     -7.445977      0.020281
     43      0.003568      0.005352     -7.451329     -7.445977      0.020919
     44      0.003536      0.005304     -7.451281     -7.445977      0.021052
     45      0.003565      0.005347     -7.451324     -7.445977      0.020700
     46      0.003650      0.005476     -7.451454     -7.445978      0.019895
     47      0.003788      0.005682     -7.451661     -7.445979      0.018681
     48      0.003971      0.005957     -7.451936     -7.445979      0.017108
     49      0.004192      0.006288     -7.452268     -7.445980      0.015238
     50      0.004443      0.006665     -7.452646     -7.445981      0.013137
     51      0.004715      0.007073     -7.453055     -7.445982      0.010874
     52      0.005000      0.007499     -7.453482     -7.445983      0.008523
     53      0.005287      0.007930     -7.453914     -7.445983      0.006155
     54      0.005569      0.008353     -7.454337     -7.445984      0.003841
     55      0.005837      0.008755     -7.454740     -7.445985      0.001649
     56      0.006083      0.009124     -7.455109     -7.445986     -0.000361
     57      0.006300      0.009450     -7.455436     -7.445986     -0.002134
     58      0.006483      0.009725     -7.455712     -7.445986     -0.003622
     59      0.006628      0.009942     -7.455928     -7.445987     -0.004790
     60      0.006730      0.010094     -7.456081     -7.445987     -0.005610
     61      0.006787      0.010181     -7.456168     -7.445987     -0.006066
     62      0.006799      0.010199     -7.456186     -7.445987     -0.006152
     63      0.006767      0.010151     -7.456137     -7.445987     -0.005874
     64      0.006692      0.010038     -7.456025     -7.445987     -0.005247
     65      0.006578      0.009867     -7.455853     -7.445986     -0.004298
     66      0.006428      0.009643     -7.455628     -7.445986     -0.003060
     67      0.006249      0.009373     -7.455358     -7.445985     -0.001578
     68      0.006046      0.009069     -7.455053     -7.445984      0.000100
     69      0.005825      0.008738     -7.454722     -7.445984      0.001919
     70      0.005595      0.008393     -7.454376     -7.445983      0.003822
     71      0.005363      0.008044     -7.454026     -7.445982      0.005748
     72      0.005135      0.007702     -7.453684     -7.445982      0.007636
     73      0.004919      0.007379     -7.453360     -7.445981      0.009428
     74      0.004723      0.007085     -7.453065     -7.445980      0.011068
     75      0.004553      0.006829     -7.452809     -7.445980      0.012505
     76      0.004413      0.006620     -7.452599     -7.445979      0.013693
     77      0.004309      0.006464     -7.452443     -7.445979      0.014594
     78      0.004245      0.006367     -7.452346     -7.445979      0.015179
