#
# MD1: a minimal molecular dynamics program
#
# Problema 3
#  Input sample: amostra5.cry
#                                (only positions read from file)
# Output sample: amostra5.md1
# Number of steps:   40000, time step: 0.0050, total time:    200.0000
# Number of atoms:   256
# Box size:    6.200000    6.200000    6.200000, Volume:        238.328
# Density:    1.074150 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.000032      0.000048     -7.446029     -7.445980      0.046834
      2      0.000286      0.000429     -7.446411     -7.445982      0.044857
      3      0.000781      0.001172     -7.447156     -7.445984      0.041005
      4      0.001492      0.002238     -7.448225     -7.445988      0.035480
      5      0.002381      0.003571     -7.449563     -7.445992      0.028569
      6      0.003403      0.005105     -7.451102     -7.445997      0.020629
      7      0.004507      0.006760     -7.452762     -7.446002      0.012063
      8      0.005638      0.008456     -7.454463     -7.446007      0.003301
      9      0.006740      0.010110     -7.456122     -7.446012     -0.005225
     10      0.007761      0.011642     -7.457658     -7.446016     -0.013105
     11      0.008655      0.012983     -7.459003     -7.446020     -0.019974
     12      0.009383      0.014074     -7.460097     -7.446023     -0.025525
     13      0.009915      0.014872     -7.460897     -7.446025     -0.029533
     14      0.010232      0.015348     -7.461374     -7.446025     -0.031855
     15      0.010329      0.015493     -7.461518     -7.446025     -0.032443
     16      0.010209      0.015314     -7.461337     -7.446023     -0.031340
     17      0.009890      0.014834     -7.460855     -7.446021     -0.028675
     18      0.009396      0.014093     -7.460111     -7.446018     -0.024658
     19      0.008761      0.013142     -7.459155     -7.446014     -0.019559
     20      0.008026      0.012039     -7.458049     -7.446010     -0.013698
     21      0.007234      0.010852     -7.456857     -7.446005     -0.007423
     22      0.006431      0.009646     -7.455648     -7.446001     -0.001091
     23      0.005659      0.008488     -7.454486     -7.445998      0.004957
     24      0.004958      0.007437     -7.453432     -7.445994      0.010408
     25      0.004362      0.006544     -7.452536     -7.445992      0.014998
     26      0.003897      0.005846     -7.451836     -7.445990      0.018527
     27      0.003580      0.005370     -7.451360     -7.445990      0.020866
     28      0.003418      0.005127     -7.451117     -7.445990      0.021961
     29      0.003409      0.005113     -7.451104     -7.445991      0.021837
     30      0.003541      0.005311     -7.451304     -7.445993      0.020591
     31      0.003795      0.005692     -7.451687     -7.445995      0.018382
     32      0.004145      0.006218     -7.452216     -7.445998      0.015420
     33      0.004561      0.006842     -7.452843     -7.446001      0.011952
     34      0.005011      0.007516     -7.453521     -7.446004      0.008242
     35      0.005461      0.008191     -7.454198     -7.446007      0.004554
