#
# MD1: a minimal molecular dynamics program
#
# Problema 3
#  Input sample: amostra50.cry
#                                (only positions read from file)
# Output sample: amostra50.md1
# Number of steps:    4000, time step: 0.0500, total time:    200.0000
# Number of atoms:   256
# Box size:    6.200000    6.200000    6.200000, Volume:        238.328
# Density:    1.074150 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.003209      0.004814     -7.446029     -7.441215      0.050247
      2      0.009956      0.014933     -7.459750     -7.444817     -0.022142
      3      0.003928      0.005893     -7.446034     -7.440141      0.053091
      4      0.006533      0.009800     -7.453652     -7.443852      0.008404
      5      0.004529      0.006793     -7.447861     -7.441068      0.041907
      6      0.006887      0.010330     -7.453606     -7.443277      0.010439
      7      0.005525      0.008287     -7.450289     -7.442002      0.028476
      8      0.005300      0.007951     -7.450016     -7.442065      0.029809
      9      0.006760      0.010139     -7.453141     -7.443002      0.012863
     10      0.004900      0.007350     -7.449013     -7.441662      0.035368
     11      0.006031      0.009047     -7.451816     -7.442769      0.019513
     12      0.005835      0.008753     -7.450792     -7.442039      0.025892
     13      0.005982      0.008973     -7.451718     -7.442745      0.020408
     14      0.005187      0.007781     -7.449418     -7.441637      0.033485
     15      0.007054      0.010581     -7.453768     -7.443187      0.009505
     16      0.004680      0.007020     -7.448806     -7.441786      0.035923
     17      0.005269      0.007903     -7.450055     -7.442152      0.029143
     18      0.007223      0.010835     -7.453805     -7.442970      0.010186
     19      0.005621      0.008431     -7.450296     -7.441865      0.028801
     20      0.005330      0.007996     -7.450700     -7.442704      0.024631
     21      0.004745      0.007117     -7.448668     -7.441551      0.037495
     22      0.007535      0.011302     -7.454563     -7.443261      0.005349
     23      0.005314      0.007971     -7.449861     -7.441890      0.030829
     24      0.005258      0.007887     -7.449951     -7.442064      0.030073
     25      0.006705      0.010058     -7.453067     -7.443009      0.012910
     26      0.004847      0.007270     -7.448897     -7.441627      0.036169
     27      0.006032      0.009048     -7.451815     -7.442766      0.019592
     28      0.006119      0.009178     -7.451181     -7.442003      0.024133
     29      0.006369      0.009553     -7.452451     -7.442898      0.016554
     30      0.004384      0.006576     -7.448184     -7.441608      0.039093
     31      0.006170      0.009255     -7.451823     -7.442568      0.019922
     32      0.006981      0.010471     -7.453142     -7.442671      0.013632
     33      0.004886      0.007329     -7.449365     -7.442037      0.032665
     34      0.005209      0.007814     -7.449766     -7.441952      0.031086
     35      0.007393      0.011090     -7.454236     -7.443146      0.007345
     36      0.004698      0.007046     -7.448847     -7.441801      0.035634
     37      0.005366      0.008049     -7.450036     -7.441987      0.029790
     38      0.007394      0.011091     -7.454479     -7.443388      0.005585
     39      0.004364      0.006546     -7.447632     -7.441087      0.043254
     40      0.006587      0.009880     -7.453174     -7.443294      0.011600
     41      0.005261      0.007892     -7.449462     -7.441570      0.033270
     42      0.006545      0.009818     -7.452669     -7.442851      0.015735
     43      0.005528      0.008292     -7.450525     -7.442233      0.026322
     44      0.005127      0.007691     -7.449529     -7.441838      0.032563
     45      0.007073      0.010609     -7.453786     -7.443177      0.009121
     46      0.004634      0.006951     -7.448497     -7.441546      0.037923
     47      0.005982      0.008974     -7.451507     -7.442533      0.021643
     48      0.006837      0.010256     -7.452802     -7.442547      0.015270
     49      0.005335      0.008002     -7.450227     -7.442225      0.028210
     50      0.004988      0.007481     -7.449431     -7.441950      0.032502
     51      0.006670      0.010006     -7.452778     -7.442772      0.014956
     52      0.005717      0.008575     -7.450748     -7.442172      0.025689
     53      0.005550      0.008325     -7.450411     -7.442086      0.027805
     54      0.006380      0.009571     -7.452363     -7.442792      0.016799
     55      0.005007      0.007511     -7.449279     -7.441767      0.033549
     56      0.006210      0.009315     -7.451968     -7.442653      0.018915
     57      0.006008      0.009012     -7.451227     -7.442215      0.023735
     58      0.006013      0.009020     -7.451327     -7.442308      0.022660
     59      0.005516      0.008274     -7.450828     -7.442553      0.024694
     60      0.004926      0.007389     -7.448903     -7.441514      0.036062
     61      0.007652      0.011477     -7.454924     -7.443447      0.003046
     62      0.004766      0.007149     -7.448663     -7.441514      0.037409
     63      0.005465      0.008197     -7.450616     -7.442419      0.025563
     64      0.006577      0.009865     -7.452411     -7.442545      0.017154
     65      0.005802      0.008703     -7.450857     -7.442154      0.025634
     66      0.005543      0.008314     -7.450755     -7.442441      0.024707
     67      0.005314      0.007971     -7.449887     -7.441915      0.030556
