#
# MD1: a minimal molecular dynamics program
#
# Lab2 Tarefa 3: Dens = 0.9, Temp = 0.7 Passo = 40000
#  Input sample: coordenadas.cry
#                                (only positions read from file)
# Output sample: coordenadasT0.7_40000.md1
# Number of steps:   40000, time step: 0.0025, total time:    100.0000
# Number of atoms:  1372
# Box size:   11.508990   11.508990   11.508990, Volume:       1524.444
# Density:    0.900000 (changed)
# Constant T run with T =    0.700000
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.014747      0.022120     18.326565     18.348685    135.027849
      2      1.159544      1.739315     18.151587     19.890902    135.273433
      3      1.127251      1.690877     17.345428     19.036305    131.599537
      4      1.080024      1.620036     16.636739     18.256774    128.308182
      5      1.042826      1.564238     16.009385     17.573623    125.360847
      6      1.014356      1.521533     15.443068     16.964601    122.674609
      7      0.992751      1.489127     14.922166     16.411293    120.184890
      8      0.976244      1.464366     14.435324     15.899690    117.844786
      9      0.963352      1.445029     13.974585     15.419614    115.627333
     10      0.952872      1.429307     13.534753     14.964060    113.497686
     11      0.943962      1.415943     13.112391     14.528333    111.457360
     12      0.936082      1.404123     12.705332     14.109455    109.483216
     13      0.928978      1.393468     12.312025     13.705493    107.617889
     14      0.922371      1.383556     11.931225     13.314781    105.768654
     15      0.916072      1.374107     11.562343     12.936450    103.973590
     16      0.910129      1.365194     11.204677     12.569871    102.223998
     17      0.904524      1.356786     10.857551     12.214337    100.528044
     18      0.899246      1.348869     10.520295     11.869164     98.876047
     19      0.894268      1.341402     10.192317     11.533719     97.270016
     20      0.889569      1.334354      9.873067     11.207421     95.705376
     21      0.885130      1.327695      9.562027     10.889722     94.188048
     22      0.880934      1.321400      9.258693     10.580094     92.708429
     23      0.876929      1.315394      8.962715     10.278109     91.248904
     24      0.873096      1.309644      8.673741      9.983385     89.822207
     25      0.869438      1.304157      8.391436      9.695592     88.426802
     26      0.865945      1.298918      8.115470      9.414388     87.064603
     27      0.862594      1.293891      7.845562      9.139453     85.725431
     28      0.859375      1.289063      7.581472      8.870535     84.419683
     29      0.856292      1.284438      7.322938      8.607376     83.142899
     30      0.853329      1.279993      7.069690      8.349683     81.895783
     31      0.850453      1.275679      6.821598      8.097277     80.657748
     32      0.847652      1.271479      6.578494      7.849973     79.441567
     33      0.844941      1.267411      6.340215      7.607627     78.246107
     34      0.842317      1.263476      6.106593      7.370069     77.075527
     35      0.839780      1.259670      5.877472      7.137141     75.926450
     36      0.837320      1.255980      5.652688      6.908668     74.798385
     37      0.834924      1.252386      5.432122      6.684508     73.685361
     38      0.832588      1.248883      5.215659      6.464541     72.591255
     39      0.830315      1.245472      5.003182      6.248654     71.515326
     40      0.828106      1.242158      4.794565      6.036723     70.462800
     41      0.825951      1.238927      4.589712      5.828638     69.423892
     42      0.823843      1.235765      4.388532      5.624296     68.403710
     43      0.821786      1.232680      4.190924      5.423604     67.402514
     44      0.819778      1.229666      3.996802      5.226468     66.418182
     45      0.817805      1.226708      3.806092      5.032800     65.444619
     46      0.815866      1.223799      3.618733      4.842532     64.488156
     47      0.813961      1.220942      3.434655      4.655597     63.544279
     48      0.812086      1.218130      3.253802      4.471932     62.612994
     49      0.810249      1.215374      3.076109      4.291483     61.702501
     50      0.808446      1.212669      2.901501      4.114170     60.802809
     51      0.806668      1.210002      2.729937      3.939938     59.914845
     52      0.804916      1.207374      2.561362      3.768737     59.039977
     53      0.803197      1.204796      2.395718      3.600514     58.182127
     54      0.801506      1.202259      2.232953      3.435212     57.333137
     55      0.799840      1.199761      2.073016      3.272777     56.499569
     56      0.798211      1.197316      1.915840      3.113156     55.675984
     57      0.796616      1.194925      1.761361      2.956286     54.867024
     58      0.795046      1.192569      1.609545      2.802114     54.068124
     59      0.793498      1.190246      1.460335      2.650581     53.281708
     60      0.791976      1.187964      1.313688      2.501652     52.507165
     61      0.790476      1.185714      1.169565      2.355279     51.745009
     62      0.789005      1.183507      1.027912      2.211420     50.993701
     63      0.787566      1.181349      0.888674      2.070023     50.255403
     64      0.786151      1.179227      0.751802      1.931028     49.528463
     65      0.784752      1.177127      0.617270      1.794398     48.807187
     66      0.783376      1.175063      0.485035      1.660098     48.099552
     67      0.782023      1.173034      0.355052      1.528086     47.398712
     68      0.780689      1.171034      0.227290      1.398324     46.708565
     69      0.779379      1.169069      0.101703      1.270771     46.024936
     70      0.778088      1.167133     -0.021746      1.145387     45.350847
     71      0.776821      1.165231     -0.143093      1.022138     44.684338
     72      0.775571      1.163357     -0.262373      0.900984     44.028161
     73      0.774339      1.161508     -0.379618      0.781890     43.381136
     74      0.773130      1.159695     -0.494865      0.664830     42.742681
     75      0.771942      1.157913     -0.608159      0.549754     42.114407
     76      0.770772      1.156157     -0.719527      0.436630     41.493612
     77      0.769623      1.154434     -0.829009      0.325426     40.880566
     78      0.768494      1.152741     -0.936637      0.216104     40.276401
     79      0.767382      1.151073     -1.042446      0.108627     39.680456
     80      0.766287      1.149431     -1.146462      0.002969     39.094134
     81      0.765213      1.147820     -1.248724     -0.100904     38.513434
     82      0.764156      1.146235     -1.349260     -0.203025     37.942610
     83      0.763115      1.144672     -1.448099     -0.303427     37.378975
     84      0.762090      1.143136     -1.545270     -0.402135     36.823897
     85      0.761080      1.141620     -1.640798     -0.499178     36.274975
     86      0.760087      1.140130     -1.734711     -0.594581     35.733368
     87      0.759109      1.138664     -1.827039     -0.688375     35.199274
     88      0.758146      1.137220     -1.917806     -0.780587     34.672642
     89      0.757199      1.135798     -2.007040     -0.871242     34.152784
     90      0.756266      1.134399     -2.094765     -0.960366     33.639782
     91      0.755350      1.133025     -2.181011     -1.047986     33.132498
     92      0.754448      1.131673     -2.265803     -1.134130     32.632892
     93      0.753559      1.130338     -2.349161     -1.218823     32.140032
     94      0.752683      1.129024     -2.431109     -1.302085     31.653373
     95      0.751822      1.127733     -2.511674     -1.383941     31.173298
     96      0.750974      1.126461     -2.590875     -1.464414     30.698692
     97      0.750137      1.125206     -2.668734     -1.543528     30.230738
     98      0.749314      1.123971     -2.745272     -1.621301     29.768836
     99      0.748503      1.122754     -2.820512     -1.697758     29.312893
    100      0.747704      1.121556     -2.894473     -1.772917     28.862819
    101      0.746918      1.120377     -2.967178     -1.846802     28.419040
    102      0.746146      1.119218     -3.038649     -1.919431     27.978907
    103      0.745388      1.118081     -3.108911     -1.990830     27.546420
    104      0.744641      1.116961     -3.177985     -2.061024     27.119700
    105      0.743906      1.115859     -3.245884     -2.130026     26.696631
    106      0.743183      1.114774     -3.312634     -2.197860     26.278677
    107      0.742469      1.113703     -3.378250     -2.264547     25.865956
    108      0.741763      1.112644     -3.442746     -2.330101     25.459229
    109      0.741067      1.111600     -3.506136     -2.394535     25.058197
    110      0.740382      1.110573     -3.568441     -2.457868     24.662141
    111      0.739708      1.109562     -3.629678     -2.520115     24.270608
    112      0.739047      1.108570     -3.689871     -2.581301     23.883470
    113      0.738394      1.107592     -3.749033     -2.641441     23.501176
    114      0.737753      1.106629     -3.807179     -2.700550     23.126472
    115      0.737120      1.105680     -3.864327     -2.758647     22.754685
    116      0.736494      1.104741     -3.920486     -2.815744     22.387078
    117      0.735876      1.103814     -3.975672     -2.871858     22.023972
    118      0.735267      1.102900     -4.029900     -2.927000     21.665180
    119      0.734668      1.102002     -4.083184     -2.981182     21.311110
    120      0.734080      1.101119     -4.135543     -3.034424     20.961439
    121      0.733500      1.100250     -4.186991     -3.086741     20.616107
    122      0.732929      1.099393     -4.237543     -3.138150     20.273536
    123      0.732367      1.098551     -4.287214     -3.188663     19.938210
    124      0.731814      1.097721     -4.336016     -3.238295     19.607024
    125      0.731267      1.096901     -4.383963     -3.287063     19.278558
    126      0.730727      1.096091     -4.431065     -3.334974     18.955748
    127      0.730195      1.095292     -4.477335     -3.382042     18.634745
    128      0.729670      1.094505     -4.522783     -3.428278     18.317675
    129      0.729153      1.093729     -4.567421     -3.473692     18.005235
    130      0.728643      1.092964     -4.611265     -3.518301     17.696473
    131      0.728141      1.092212     -4.654324     -3.562112     17.391471
    132      0.727648      1.091472     -4.696616     -3.605144     17.090468
    133      0.727161      1.090742     -4.738150     -3.647408     16.794441
    134      0.726682      1.090023     -4.778938     -3.688915     16.501082
    135      0.726212      1.089318     -4.818994     -3.729676     16.212284
    136      0.725749      1.088624     -4.858329     -3.769705     15.924734
    137      0.725291      1.087936     -4.896953     -3.809017     15.641221
    138      0.724838      1.087257     -4.934872     -3.847615     15.361283
    139      0.724391      1.086586     -4.972099     -3.885512     15.085323
    140      0.723952      1.085928     -5.008645     -3.922717     14.811824
    141      0.723519      1.085278     -5.044518     -3.959240     14.542174
    142      0.723092      1.084638     -5.079730     -3.995092     14.278397
    143      0.722673      1.084010     -5.114294     -4.030284     14.016569
    144      0.722262      1.083393     -5.148223     -4.064830     13.756343
    145      0.721859      1.082788     -5.181526     -4.098738     13.498105
    146      0.721460      1.082190     -5.214211     -4.132021     13.244736
    147      0.721064      1.081596     -5.246286     -4.164690     12.994107
    148      0.720675      1.081012     -5.277761     -4.196748     12.747763
    149      0.720293      1.080440     -5.308644     -4.228204     12.505110
    150      0.719918      1.079877     -5.338950     -4.259072     12.264011
    151      0.719547      1.079321     -5.368682     -4.289362     12.026950
    152      0.719180      1.078771     -5.397850     -4.319079     11.791974
    153      0.718822      1.078233     -5.426465     -4.348233     11.560192
    154      0.718470      1.077706     -5.454539     -4.376834     11.329881
    155      0.718121      1.077182     -5.482076     -4.404894     11.103670
    156      0.717776      1.076664     -5.509083     -4.432419     10.880186
    157      0.717438      1.076157     -5.535571     -4.459414     10.659502
    158      0.717107      1.075660     -5.561551     -4.485891     10.439100
    159      0.716778      1.075167     -5.587023     -4.511856     10.223202
    160      0.716454      1.074680     -5.611996     -4.537316     10.011155
    161      0.716135      1.074203     -5.636481     -4.562278      9.800067
    162      0.715820      1.073731     -5.660482     -4.586752      9.591677
    163      0.715510      1.073265     -5.684008     -4.610743      9.384929
    164      0.715204      1.072806     -5.707065     -4.634259      9.183121
    165      0.714905      1.072358     -5.729664     -4.657306      8.980524
    166      0.714610      1.071915     -5.751809     -4.679895      8.782394
    167      0.714318      1.071477     -5.773510     -4.702033      8.586653
    168      0.714032      1.071048     -5.794772     -4.723724      8.393446
    169      0.713750      1.070625     -5.815601     -4.744975      8.201079
    170      0.713473      1.070209     -5.836008     -4.765799      8.011093
    171      0.713199      1.069798     -5.855995     -4.786197      7.823767
    172      0.712928      1.069392     -5.875568     -4.806176      7.639051
    173      0.712662      1.068993     -5.894736     -4.825743      7.457362
