#
# MD1: a minimal molecular dynamics program
#
# Lab2 Tarefa 3: Dens = 0.9, Temp = 1.2 Passo = 10000
#  Input sample: coordenadas.cry
#                                (only positions read from file)
# Output sample: coordenadasT1.2_10000.md1
# Number of steps:   10000, time step: 0.0025, total time:     25.0000
# Number of atoms:  1372
# Box size:   11.508990   11.508990   11.508990, Volume:       1524.444
# Density:    0.900000 (changed)
# Constant T run with T =    1.200000
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.014747      0.022120     18.326565     18.348685    135.027849
      2      1.783842      2.675764     18.151587     20.827350    135.835302
      3      1.737020      2.605531     17.182509     19.788040    131.405366
      4      1.666954      2.500432     16.349825     18.850257    127.507244
      5      1.612947      2.419420     15.627356     18.046776    124.076690
      6      1.572737      2.359105     14.985205     17.344310    120.991586
      7      1.543322      2.314983     14.400693     16.715676    118.161541
      8      1.521854      2.282781     13.857440     16.140221    115.514876
      9      1.505895      2.258842     13.344442     15.603284    113.011897
     10      1.493491      2.240237     12.854537     15.094774    110.607285
     11      1.483404      2.225105     12.383240     14.608345    108.344616
     12      1.474592      2.211888     11.927848     14.139736    106.106833
     13      1.466375      2.199563     11.487234     13.686797    103.938726
     14      1.458645      2.187968     11.060468     13.248436    101.834095
     15      1.451284      2.176925     10.646798     12.823724     99.791571
     16      1.444282      2.166424     10.245578     12.412002     97.820213
     17      1.437636      2.156454      9.856080     12.012534     95.912030
     18      1.431288      2.146932      9.477809     11.624741     94.035197
     19      1.425244      2.137865      9.110178     11.248043     92.212977
     20      1.419508      2.129262      8.752587     10.881848     90.437494
     21      1.414037      2.121056      8.404545     10.525600     88.703239
     22      1.408833      2.113250      8.065566     10.178815     87.018960
     23      1.403882      2.105824      7.735169      9.840992     85.375382
     24      1.399154      2.098732      7.412979      9.511710     83.774573
     25      1.394660      2.091990      7.098556      9.190546     82.226456
     26      1.390338      2.085507      6.791544      8.877051     80.695494
     27      1.386131      2.079197      6.491759      8.570956     79.190257
     28      1.382070      2.073105      6.198931      8.272035     77.719642
     29      1.378156      2.067234      5.912784      7.980019     76.279083
     30      1.374376      2.061564      5.633080      7.694645     74.867704
     31      1.370739      2.056109      5.359547      7.415656     73.494778
     32      1.367222      2.050832      5.091993      7.142825     72.141258
     33      1.363799      2.045698      4.830233      6.875931     70.814772
     34      1.360491      2.040737      4.574063      6.614800     69.521836
     35      1.357285      2.035927      4.323293      6.359220     68.250993
     36      1.354156      2.031234      4.077783      6.109017     67.001984
     37      1.351116      2.026673      3.837372      5.864046     65.782851
     38      1.348162      2.022243      3.601905      5.624149     64.588550
     39      1.345267      2.017900      3.371285      5.389185     63.406093
     40      1.342421      2.013631      3.145413      5.159044     62.244331
     41      1.339634      2.009451      2.924181      4.933632     61.102373
     42      1.336911      2.005366      2.707480      4.712846     59.985524
     43      1.334242      2.001362      2.495204      4.496566     58.885201
     44      1.331616      1.997424      2.287276      4.284700     57.805198
     45      1.329045      1.993567      2.083608      4.077175     56.743143
     46      1.326531      1.989797      1.884071      3.873868     55.701413
     47      1.324064      1.986096      1.688610      3.674706     54.676802
     48      1.321624      1.982436      1.497171      3.479607     53.673109
     49      1.319213      1.978820      1.309689      3.288509     52.688093
     50      1.316840      1.975260      1.126094      3.101354     51.717742
     51      1.314494      1.971740      0.946347      2.918088     50.765207
     52      1.312177      1.968266      0.770384      2.738650     49.830797
