#
# MD1: a minimal molecular dynamics program
#
# Lab2 Tarefa 3: Dens = 0.9, Temp = 0.8 Passo = 40000
#  Input sample: coordenadas.cry
#                                (only positions read from file)
# Output sample: coordenadasT0.8_40000.md1
# Number of steps:   40000, time step: 0.0025, total time:    100.0000
# Number of atoms:  1372
# Box size:   11.508990   11.508990   11.508990, Volume:       1524.444
# Density:    0.900000 (changed)
# Constant T run with T =    0.800000
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.014747      0.022120     18.326565     18.348685    135.027849
      2      1.287290      1.930935     18.151587     20.082522    135.388405
      3      1.251971      1.877956     17.308716     19.186672    131.544570
      4      1.199996      1.799994     16.571503     18.371497    128.114701
      5      1.159260      1.738891     15.921802     17.660692    125.055194
      6      1.128286      1.692429     15.337319     17.029748    122.274992
      7      1.104982      1.657474     14.800947     16.458421    119.703346
      8      1.087391      1.631086     14.300273     15.931359    117.295245
      9      1.073784      1.610676     13.826656     15.437332    115.001856
     10      1.062822      1.594233     13.374515     14.968748    112.811189
     11      1.053571      1.580357     12.940188     14.520545    110.700592
     12      1.045417      1.568126     12.521431     14.089557    108.672165
     13      1.038064      1.557097     12.116505     13.673602    106.740787
     14      1.031190      1.546785     11.724539     13.271324    104.833630
     15      1.024616      1.536923     11.344806     12.881729    102.974363
     16      1.018393      1.527590     10.976639     12.504228    101.171270
     17      1.012523      1.518785     10.619317     12.138102     99.420368
     18      1.006984      1.510476     10.272209     11.782685     97.718153
     19      1.001754      1.502631      9.934699     11.437330     96.062260
     20      0.996827      1.495240      9.606203     11.101443     94.467322
     21      0.992165      1.488247      9.286196     10.774443     92.895426
     22      0.987714      1.481571      8.974250     10.455822     91.353176
     23      0.983470      1.475204      8.669975     10.145180     89.849534
     24      0.979428      1.469142      8.372987      9.842129     88.380013
     25      0.975576      1.463365      8.082918      9.546282     86.947362
     26      0.971884      1.457826      7.799446      9.257272     85.538778
     27      0.968342      1.452513      7.522300      8.974813     84.167156
     28      0.964969      1.447453      7.251183      8.698636     82.836693
     29      0.961715      1.442573      6.985798      8.428371     81.518073
     30      0.958549      1.437824      6.726020      8.163844     80.222713
     31      0.955482      1.433223      6.471654      7.904877     78.947340
     32      0.952513      1.428770      6.222514      7.651284     77.698032
     33      0.949643      1.424464      5.978410      7.402874     76.471793
     34      0.946868      1.420302      5.739166      7.159468     75.271681
     35      0.944180      1.416271      5.504613      6.920884     74.091622
     36      0.941564      1.412346      5.274622      6.686968     72.930997
     37      0.939017      1.408526      5.049058      6.457584     71.789155
     38      0.936545      1.404818      4.827786      6.232604     70.672770
     39      0.934139      1.401209      4.610675      6.011884     69.572006
     40      0.931789      1.397683      4.397626      5.795309     68.492545
     41      0.929498      1.394247      4.188523      5.582770     67.432145
     42      0.927262      1.390893      3.983264      5.374157     66.390322
     43      0.925071      1.387607      3.781764      5.169371     65.362777
     44      0.922921      1.384382      3.583945      4.968327     64.353247
     45      0.920809      1.381214      3.389736      4.770950     63.356752
     46      0.918733      1.378100      3.199068      4.577167     62.375834
     47      0.916700      1.375051      3.011865      4.386915     61.416541
     48      0.914704      1.372055      2.828053      4.200108     60.467601
     49      0.912733      1.369100      2.647584      4.016684     59.532196
     50      0.910795      1.366193      2.470399      3.836592     58.613379
     51      0.908890      1.363336      2.296431      3.659766     57.708837
     52      0.907016      1.360523      2.125627      3.486150     56.818309
     53      0.905179      1.357768      1.957919      3.315688     55.942438
     54      0.903382      1.355072      1.793233      3.148305     55.077518
     55      0.901612      1.352417      1.631522      2.983939     54.228819
     56      0.899868      1.349802      1.472731      2.822533     53.392958
     57      0.898144      1.347217      1.316822      2.664039     52.569111
     58      0.896450      1.344675      1.163749      2.508424     51.761154
     59      0.894794      1.342190      1.013441      2.355631     50.965538
     60      0.893164      1.339746      0.865844      2.205589     50.179937
     61      0.891561      1.337341      0.720908      2.058250     49.412076
     62      0.889984      1.334976      0.578593      1.913570     48.648225
     63      0.888432      1.332648      0.438846      1.771495     47.901006
     64      0.886906      1.330359      0.301629      1.631988     47.161841
     65      0.885407      1.328111      0.166888      1.494999     46.432613
     66      0.883934      1.325901      0.034576      1.360478     45.712808
